Total	5855911.0	2174463.0
(1356729, '0', '999')
(3323754, '1', '999')
(1957513, '0', '995')
(2545631, '0', '995')
(1195212, '1', '99')
(1746049, '0', '99')
(1890385, '0', '99')
(2294587, '0', '99')
(2363796, '0', '99')
(2887342, '0', '99')
(3248843, '0', '99')
(3439566, '0', '99')
(4041800, '0', '99')
(4540163, '0', '99')
(4596507, '0', '99')
(4619868, '0', '99')
(4634597, '0', '99')
(4835574, '0', '99')
(5068567, '0', '99')
(5373384, '0', '99')
(5589180, '0', '99')
(5685013, '0', '99')
(5768993, '0', '99')
(5601908, '0', '989')
(1160626, '1', '988')
(5499886, '0', '986')
(2123138, '0', '984')
(1557826, '0', '983')
(5387032, '0', '983')
(2916054, '0', '982')
(1592777, '1', '98')
(1889764, '0', '98')
(1962939, '0', '98')
(2234804, '1', '98')
(2318628, '1', '98')
(2522050, '0', '98')
(2524505, '0', '98')
(2568460, '0', '98')
(2577454, '0', '98')
(3261745, '0', '98')
(3381114, '0', '98')
(3525530, '0', '98')
(3808408, '0', '98')
(3874877, '0', '98')
(3910177, '0', '98')
(4114412, '0', '98')
(4137935, '0', '98')
(4153254, '0', '98')
(4161611, '0', '98')
(4175989, '0', '98')
